LATITUDE;LONGITUDE;ANNUAL
-30,50;-55,35;4943
-30,50;-55,25;4921
-30,50;-55,15;4908
-30,50;-55,05;4904
-30,50;-54,95;4902
-30,50;-54,85;4906
-30,50;-54,75;4899
-30,50;-54,65;4904
-30,50;-54,55;4910
-30,50;-54,45;4903
-30,50;-54,35;4892
-30,50;-54,25;4899
-30,50;-54,15;4889
-30,50;-54,05;4875
-30,50;-53,95;4887
-30,50;-53,85;4862
-30,50;-53,75;4834
-30,50;-53,65;4808
-30,50;-53,55;4795
-30,50;-53,45;4786
-30,50;-53,35;4760
-30,50;-53,25;4761
-30,50;-53,15;4765
-30,50;-53,05;4774
-30,50;-52,95;4756
-30,50;-52,85;4737
-30,50;-52,75;4742
-30,50;-52,65;4721
-30,50;-52,55;4716
-30,50;-52,45;4720
-30,50;-52,35;4704
-30,50;-52,25;4691
-30,50;-52,15;4665
-30,50;-52,05;4648
-30,50;-51,95;4622
-30,50;-51,85;4574
-30,50;-51,75;4548
-30,50;-51,65;4536
-30,50;-51,55;4555
-30,50;-51,45;4598
-30,50;-51,35;4651
-30,50;-51,25;4720
-30,50;-51,15;4785
-30,50;-51,05;4795
-30,50;-50,95;4773
-30,50;-50,85;4775
-30,50;-50,75;4766
-30,50;-50,65;4702
-30,50;-50,55;4688
-30,50;-50,45;4692
-30,50;-50,35;4613
-30,40;-56,55;5120
-30,40;-56,45;5098
-30,40;-56,35;5094
-30,40;-56,25;5080
-30,40;-56,15;5077
-30,40;-56,05;5053
-30,40;-55,95;5046
-30,40;-55,85;5031
-30,40;-55,75;5008
-30,40;-55,65;4993
-30,40;-55,55;4995
-30,40;-55,45;4992
-30,40;-55,35;4965
-30,40;-55,25;4933
-30,40;-55,15;4909
-30,40;-55,05;4906
-30,40;-54,95;4910
-30,40;-54,85;4910
-30,40;-54,75;4909
-30,40;-54,65;4917
-30,40;-54,55;4912
-30,40;-54,45;4908
-30,40;-54,35;4890
-30,40;-54,25;4892
-30,40;-54,15;4882
-30,40;-54,05;4892
-30,40;-53,95;4894
-30,40;-53,85;4874
-30,40;-53,75;4849
-30,40;-53,65;4833
-30,40;-53,55;4790
-30,40;-53,45;4793
-30,40;-53,35;4774
-30,40;-53,25;4765
-30,40;-53,15;4764
-30,40;-53,05;4770
-30,40;-52,95;4756
-30,40;-52,85;4748
-30,40;-52,75;4757
-30,40;-52,65;4734
-30,40;-52,55;4721
-30,40;-52,45;4722
-30,40;-52,35;4719
-30,40;-52,25;4717
-30,40;-52,15;4707
-30,40;-52,05;4708
-30,40;-51,95;4693
-30,40;-51,85;4648
-30,40;-51,75;4597
-30,40;-51,65;4575
-30,40;-51,55;4564
-30,40;-51,45;4595
-30,40;-51,35;4659
-30,40;-51,25;4706
-30,40;-51,15;4757
-30,40;-51,05;4758
-30,40;-50,95;4713
-30,40;-50,85;4742
-30,40;-50,75;4743
-30,40;-50,65;4716
-30,40;-50,55;4698
-30,40;-50,45;4699
-30,40;-50,35;4622
-30,40;-50,25;4669
-30,30;-57,55;5189
-30,30;-57,45;5181
-30,30;-57,35;5174
-30,30;-57,25;5150
-30,30;-57,15;5136
-30,30;-56,65;5117
-30,30;-56,55;5102
-30,30;-56,45;5110
-30,30;-56,35;5109
-30,30;-56,25;5090
-30,30;-56,15;5074
-30,30;-56,05;5059
-30,30;-55,95;5035
-30,30;-55,85;5040
-30,30;-55,75;5010
-30,30;-55,65;4980
-30,30;-55,55;5012
-30,30;-55,45;5002
-30,30;-55,35;4979
-30,30;-55,25;4960
-30,30;-55,15;4921
-30,30;-55,05;4916
-30,30;-54,95;4918
-30,30;-54,85;4917
-30,30;-54,75;4922
-30,30;-54,65;4924
-30,30;-54,55;4906
-30,30;-54,45;4904
-30,30;-54,35;4887
-30,30;-54,25;4879
-30,30;-54,15;4874
-30,30;-54,05;4877
-30,30;-53,95;4872
-30,30;-53,85;4869
-30,30;-53,75;4844
-30,30;-53,65;4820
-30,30;-53,55;4794
-30,30;-53,45;4785
-30,30;-53,35;4786
-30,30;-53,25;4776
-30,30;-53,15;4765
-30,30;-53,05;4759
-30,30;-52,95;4759
-30,30;-52,85;4759
-30,30;-52,75;4752
-30,30;-52,65;4749
-30,30;-52,55;4746
-30,30;-52,45;4735
-30,30;-52,35;4729
-30,30;-52,25;4727
-30,30;-52,15;4717
-30,30;-52,05;4704
-30,30;-51,95;4698
-30,30;-51,85;4685
-30,30;-51,75;4656
-30,30;-51,65;4632
-30,30;-51,55;4613
-30,30;-51,45;4630
-30,30;-51,35;4676
-30,30;-51,25;4718
-30,30;-51,15;4734
-30,30;-51,05;4704
-30,30;-50,95;4648
-30,30;-50,85;4676
-30,30;-50,75;4699
-30,30;-50,65;4725
-30,30;-50,55;4699
-30,30;-50,45;4683
-30,30;-50,35;4667
-30,30;-50,25;4682
-30,20;-57,65;5186
-30,20;-57,55;5174
-30,20;-57,45;5167
-30,20;-57,35;5165
-30,20;-57,25;5147
-30,20;-57,15;5131
-30,20;-56,75;5122
-30,20;-56,65;5107
-30,20;-56,55;5106
-30,20;-56,45;5106
-30,20;-56,35;5099
-30,20;-56,25;5085
-30,20;-56,15;5087
-30,20;-56,05;5072
-30,20;-55,95;5044
-30,20;-55,85;5040
-30,20;-55,75;5020
-30,20;-55,65;4992
-30,20;-55,55;5010
